dummy,newshead,date,office,title,attacker,advantage,Evaluated,namming,partiality,Sum,URL
_,1100801.202,20201211,조선일보,새살림 차린다고 모친과 아들 장롱속에...40대 남성 무기징역,남성,0,0,1,0,1,https://www.chosun.com/national/court_law/2020/12/11/4FDTHI23ONC5XAYW2VQCAKMC4A/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,2100801.202,20201211,아시아경제,"'헤어지자'는 연인 말에 분노 살해 시신 유기한 남성 2명, 경찰에 붙잡혀",남성,1,0,0,0,1,https://www.asiae.co.kr/article/2020121121110312935
_,2100801.202,20201211,아시아경제,동거녀 살해 후 시신 훼손 유기한 60대 구속,남성,0,0,0,1,1,https://www.asiae.co.kr/article/2020121120465060406
_,1100901.202,20201211,중앙일보,모친과 친아들 살해 후 장롱 유기 40대 1심서 무기징역,남성,0,0,0,0,0,https://news.joins.com/article/olink/23538214
_,8100201.202,20201211,MBC,"[단독] ""헤어지자""는 여성 찾아가 살해 후 암매장",남성,1,0,0,0,1,https://imnews.imbc.com/replay/2020/nwdesk/article/6024425_32524.html
_,1500151.202,20201211,경남도민일보,내연관계 상대 살해한 50대 6년 만에 기소,남성,0,0,0,0,0,http://www.idomin.com/news/articleView.html?idxno=747534
_,1500701.202,20201211,부산일보,양산 동거녀 살해 혐의 60대 동거남 구속,남성,0,0,0,0,0,http://www.busan.com/view/busan/view.php?code=2020121121502387849
_,1500701.202,20201211,부산일보,"양산 동거녀 살해, 시신 훼손 유기한 60대 구속 ""증거인멸 도주 우려""",남성,0,0,0,1,1,http://www.busan.com/view/busan/view.php?code=2020121121110247347
_,2100851.202,20201211,아주경제,'70대 노모 5살 아들 살해 장롱은닉' 40대남성 무기징역 선고,남성,0,0,0,0,0,http://www.ajunews.com/view/20201211110144583
_,2100201.202,20201211,머니투데이,새살림 반대한다고 모친 아들 살해 후 은닉한 40대  1심 무기징역,남성,1,0,0,0,1,http://news.moneytoday.co.kr/view/mtview.php?no=2020121111034348566&type=2
_,2100701.202,20201211,헤럴드경제,동거녀 살해 후 시신 훼손 유기한 60대 구속,남성,0,0,0,1,1,http://biz.heraldcorp.com/view.php?ud=20201211000764
_,8100401.202,20201210,YTN,'PC방 손님 살해' 50대 종업원 2심도 징역 15년,남성,0,0,0,0,0,https://www.ytn.co.kr/_ln/0115_202012100938146027
_,8100401.202,20201210,YTN,"여성 2명 살해한 최신종, 사형 구형한 검사 노려보며 돌발행동",남성,-1,0,0,1,0,https://www.ytn.co.kr/_ln/0103_202012101702300431
_,8100401.202,20201210,YTN,고양서 60대 친모 마구 때려 살해한 30대 아들 체포,남성,0,0,0,0,0,https://www.ytn.co.kr/_ln/0103_202012101527150691
_,1600801.202,20201210,전남일보,'가출팸' 동료 살해 암매장한 오산 백골 사건 주범 징역 30년 확정,남성,0,0,1,0,1,https://www.jnilbo.com/view/media/view?code=2020121016435518039
_,2100601.202,20201210,한국경제,‘골프채 아내 살해’ 유승현 전 김포시의장 대법서 징역 7년 확정,남성,0,0,0,1,1,https://www.hankyung.com/society/article/2020121047657
_,1100401.202,20201210,동아일보,‘판결 불복’ 9세 아이 여행가방 살해한 계모 항소,여성,-1,0,0,0,-1,https://www.donga.com/news/article/all/20201210/104378046/2
_,8100301.202,20201210,SBS,"골절에 장기도 끊긴 16개월 아기 ""살인죄 적용해야""",여성,-1,0,0,0,-1,https://news.sbs.co.kr/news/endPage.do?news_id=N1006115212&plink=ORI&cooper=ETC
_,1100611.202,20201210,서울신문,동거녀 살해 후 시신 불태운 50대 구속영장 시신 일부 발견,남성,1,0,0,1,2,http://www.seoul.co.kr/news/newsView.php?id=20201210500024
_,1100611.202,20201210,서울신문,“계획적 범행” 지인 살해 20대 항소심서도 징역 18년,남성,-1,0,0,0,-1,http://www.seoul.co.kr/news/newsView.php?id=20201210500019
_,1100501.202,20201210,문화일보,제주 도두동 아르바이트 귀갓길 여성 살해범 무기징역 선고,남성,0,0,0,1,1,http://www.munhwa.com/news/view.html?no=20201210MW141229901995
_,1100501.202,20201210,문화일보,양산 동거녀 살해후 시신훼손 동거남 구속영장,남성,0,0,0,0,0,http://www.munhwa.com/news/view.html?no=20201210MW090246779749
_,1200201.202,20201210,경인일보,"70대 요양보호사 무참히 살해 檢, 50대男에 징역 25년 구형",남성,0,0,0,0,0,http://www.kyeongin.com/main/view.php?key=20201209010001968
_,1101001.202,20201210,한겨레,양산 살인사건 용의자 동거남 구속영장 신청,남성,0,0,0,0,0,http://www.hani.co.kr/arti/area/yeongnam/973580.html
_,1601001.202,20201210,전북도민일보,"지인 흉기로 살해 20대, 항소심도 18년 중형",남성,0,0,0,0,0,http://www.domin.co.kr/news/articleView.html?idxno=1320797
_,1500701.202,20201210,부산일보,"양산 피살 시신 DNA, 가출 동거녀 것으로 확인(종합)",남성,0,0,0,1,1,http://www.busan.com/view/busan/view.php?code=2020121010132818486
_,1500701.202,20201210,부산일보,[속보] 양산 살인사건 용의자 집에서 발견된 혈흔은 동거녀 경찰 구속영장 신청(1보),남성,0,0,0,1,1,http://www.busan.com/view/busan/view.php?code=2020121009162606429
_,2100201.202,20201210,머니투데이,내연남 목졸라 살해한 50대 6년만에 기소 이유는?,여성,0,-1,0,1,0,http://news.moneytoday.co.kr/view/mtview.php?no=2020121018462366979&type=2
_,2100201.202,20201210,머니투데이,양산 쓰레기더미 '훼손 시신' 나머지도 발견 동거남 구속영장,남성,0,0,1,-1,0,http://news.moneytoday.co.kr/view/mtview.php?no=2020121009491754024&type=2
_,2100101.202,20201210,매일경제,친구 폭행당하자 앙심 품고 지인 살해한 20대 징역 18년,남성,1,0,0,0,1,http://news.mk.co.kr/newsRead.php?no=1267859&year=2020
_,1100201.202,20201210,국민일보,BJ에 빠져 살인까지 제주 오일장 살인범 무기징역,남성,-1,0,0,0,-1,http://news.kmib.co.kr/article/view.asp?arcid=0015308107&code=61121311&cp=kd
_,1100101.202,20201210,경향신문,BJ에 돈 탕진하고 귀가여성 강도살인한 20대 무기징역,남성,-1,0,0,1,0,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202012101610001&code=940301
_,8100101.202,20201210,KBS,‘BJ’에 돈 탕진하고 ‘묻지마 강도 살인’ 엄벌,남성,0,0,1,0,1,http://news.kbs.co.kr/news/view.do?ncd=5068729&amp;ref=DA
_,8100101.202,20201209,KBS,지적장애 여성 감금 폭행해 살해한 주범 항소심서 ‘무기징역’,남성,0,-1,0,1,0,http://news.kbs.co.kr/news/view.do?ncd=5067561&amp;ref=DA
_,1100101.202,20201209,경향신문,"“잔혹하고 비인간적, 반성도 안해” 장애여성 살인 항소심서 ‘무기징역’",남성,0,-1,0,1,0,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202012091306001&code=940301
_,1100201.202,20201209,국민일보,시신 묻고 시멘트까지 부었다 끔찍했던 익산살인 전모,남성,-1,-1,1,0,-1,http://news.kmib.co.kr/article/view.asp?arcid=0015304300&code=61121211&cp=kd
_,2100101.202,20201209,매일경제,"`양육 스트레스 때문에 학대 ` 16개월 입양아 숨지게 한 엄마, 구속기소",여성,1,0,0,-1,0,http://news.mk.co.kr/newsRead.php?no=1263836&year=2020
_,2100201.202,20201209,머니투데이,"토치로 화상 입히고, 살해 후 시멘트 덮고...익산 원룸서 벌어진 일",남성,0,0,0,0,0,http://news.moneytoday.co.kr/view/mtview.php?no=2020120917061234672&type=2
_,1500701.202,20201209,부산일보,"""잔혹하고 비인간적"" 지적장애 여성 학대 살해하고 암매장한 일당",남성,0,-1,0,1,0,http://www.busan.com/view/busan/view.php?code=2020120911502205996
_,1601001.202,20201209,전북도민일보,익산 장애 여성 살해 일당 항소심서 형량 높아져,남성,0,0,0,1,1,http://www.domin.co.kr/news/articleView.html?idxno=1320589
_,1101001.202,20201209,한겨레,"성착취 감추려 장애 여성 살해한 일당, 항소심서 무기징역",남성,0,0,0,1,1,http://www.hani.co.kr/arti/area/honam/973455.html
_,1500901.202,20201209,울산매일,우퍼 스피커로 층간소음 맞대응한 아래층 주민 위협한 60대 벌금형,남성,0,0,1,0,1,http://www.iusm.co.kr/news/articleView.html?idxno=895008
_,1601101.202,20201209,전북일보,지적장애 동거녀 살해 암매장 주범 항소심서 무기징역형,남성,0,0,1,1,2,http://www.jjan.kr/news/articleView.html?idxno=2097784
_,1100501.202,20201209,문화일보,‘16개월 입양아 사망’ 엄마 기소 검찰 “학대로 췌장 절단돼 숨져”,여성,-1,0,0,-1,-2,http://www.munhwa.com/news/view.html?no=2020120901071003349002
_,1100701.202,20201209,세계일보,“30년도 가벼워” 장애여성 고문 암매장한 일당에 최고 ‘무기징역’,남성,0,-1,1,1,1,http://www.segye.com/content/html/2020/12/09/20201209518586.html
_,1500601.202,20201209,매일신문,"'16개월 입양아 학대 사망' 엄마 기소 ""부검 결과, 복부 손상""",여성,0,0,0,-1,-1,https://news.imaeil.com/Society/2020120910055884467
_,1100901.202,20201209,중앙일보,‘16개월 입양아 학대 전신 골절 출혈 사망’ 엄마 구속기소,여성,-1,0,0,-1,-2,https://news.joins.com/article/olink/23535874
_,2100801.202,20201209,아시아경제,양산 쓰레기더미 시신 유기 유력 용의자 '피해 여성의 동거남',남성,0,0,1,0,1,https://www.asiae.co.kr/article/2020120913301697207
_,8100301.202,20201209,SBS,"췌장 끊어질 정도로 때린 엄마 ""살인죄 적용하라""",여성,-1,-1,0,0,-2,https://news.sbs.co.kr/news/endPage.do?news_id=N1006114734&plink=ORI&cooper=ETC
_,2100311.202,20201209,서울경제,경남 양산 '쓰레기더미 유기' 중년여성 살해범 체포,남성,0,0,1,1,2,http://www.sedaily.com/NewsView/1ZBM6UBVXM
_,1100501.202,20201209,문화일보,양산 절단 여성사체 용의자 집서 혈흔 발견,남성,0,0,1,1,2,http://www.munhwa.com/news/view.html?no=20201209MW115318811452
_,1500151.202,20201209,경남도민일보,양산서 여성시신 훼손 유기 용의자 체포,남성,0,0,1,1,2,http://www.idomin.com/news/articleView.html?idxno=747188
