dummy,newshead,date,office,title,attacker,advantage,Evaluated,namming,partiality,Sum,URL
_,2100201.202,20201212,머니투데이,"박원순 女비서 ""피고인도 딸 있는 아버지다"" 검찰 '8년형' 구형",남성,1,0,1,1,3,http://news.moneytoday.co.kr/view/mtview.php?no=2020121113445761809&type=2
_,2100101.202,20201212,매일경제,"김기덕, 세계 3대 영화제→성추문→코로나19 사망...‘굴곡진 삶’[종합]",남성,1,1,1,0,3,http://star.mk.co.kr/new/view.php?mc=ST&year=2020&no=1276319
_,8100101.202,20201211,KBS,의사 행세 미성년자 성폭행 30대 징역 23년,남성,0,0,0,0,0,http://news.kbs.co.kr/news/view.do?ncd=5069690&amp;ref=DA
_,2100601.202,20201211,한국경제,성폭행 혐의 20대男 무죄 증거는 여성이 보낸 'ㅋㅋㅋ' 카톡,남성,1,0,0,0,1,https://www.hankyung.com/society/article/2020121105577
_,8100101.202,20201211,KBS,의사 행세 미성년자 성폭행 30대 징역 23년,남성,0,0,0,0,0,http://news.kbs.co.kr/news/view.do?ncd=5069489&amp;ref=DA
_,1100901.202,20201211,중앙일보,"'ㅋㅋㅋ에후~오빠' 이 카톡, 성폭행범 몰린 그 남자 살렸다",남성,1,1,1,0,3,https://news.joins.com/article/olink/23538299
_,1100801.202,20201211,조선일보,‘ㅋㅋㅋㅋ 오빠’ 카톡이 그 남자를 살렸다,남성,1,0,1,0,2,https://www.chosun.com/national/national_general/2020/12/11/VCOCCEER3FBVHERVTRUUNAV764/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,1101101.202,20201211,한국일보,"여성이 보낸 카톡 'ㅋㅋㅋ'... 법원, 성폭행 무죄 증거로 판단",남성,1,0,0,1,2,https://hankookilbo.com/News/Read/A2020121114560004118
_,8100401.202,20201211,YTN,"특수강간 혐의 60대 무죄 확정...""증거 오염 가능성""",남성,0,0,0,0,0,https://www.ytn.co.kr/_ln/0103_202012111428023579
_,1101001.202,20201211,한겨레,"미성년자 성폭행 미수 징역 12년, 대법서 ‘무죄’ 확정",남성,0,0,0,0,0,http://www.hani.co.kr/arti/society/society_general/973830.html
_,1100501.202,20201211,문화일보,성폭행당했다는 날 피의자에게 ‘ㅋㅋㅋ’문자 무죄 증거로,남성,1,0,1,0,2,http://www.munhwa.com/news/view.html?no=20201211MW120814848340
