dummy,newshead,date,office,title,attacker,advantage,Evaluated,namming,partiality,Sum
_,2100701.202,20201211,헤럴드경제,‘버닝썬’ 제보자 폭행 경찰 2명 무혐의 처분에 항고 CCTV 편집 여부 관건,남성,0,0,0,0,0
_,8100101.202,20201211,KBS,"故 최희석 경비원 폭행 주민 징역 5년 “집요한 괴롭힘, 반성 안 해”",남성,0,-1,0,0,-1
_,1100201.202,20201211,국민일보,경비원 극단적 선택 부른 아파트 주민 ‘중형’,남성,0,-1,1,0,0
_,2100201.202,20201211,머니투데이,잔인했던 10여일 경비원 갑질 주민 '징역 5년' 받았다,남성,0,-1,1,0,0
_,2100501.202,20201211,파이낸셜뉴스,"'경비원 갑질' 입주민 1심 징역5년 ""반성 안해""",남성,0,-1,1,0,0
_,1200201.202,20201211,경인일보,인천서 술취해 기사 때리고 택시 빼앗아 도주한 50대 승객 검거,남성,0,0,0,0,0
_,1100611.202,20201211,서울신문,‘경비원 폭행 갑질’ 입주민 1심서 징역 5년,남성,0,0,0,0,0
_,1101101.202,20201211,한국일보,강남서 성매매 비용 놓고 실랑이... 망치까지 휘둘러,남성,0,-1,0,0,-1
_,8100201.202,20201211,MBC,"'경비원 갑질' 입주민 징역 5년 ""죄질 나빠""",남성,0,-1,1,0,0
_,8100301.202,20201211,SBS,"경비원 죽음 내몬 폭행  갑질 '징역 5년' ""반성 없다""",남성,0,-1,0,0,-1
_,2100801.202,20201211,아시아경제,"성매매 비용 시비 종업원이 손님 '망치' 폭행, 두개골 함몰",남성,-1,0,0,0,-1
_,1100801.202,20201211,조선일보,“다른 길로 돌아가서”...술 취해 택시 기사 폭행하고 차량 빼앗아 도주,남성,1,0,0,0,1
_,1100401.202,20201211,동아일보,"‘경비원 갑질 폭행’ 40대 男, 징역 5년형",남성,0,0,0,0,0
_,8100401.202,20201211,YTN,택시기사 폭행하고 차량 빼앗아 음주운전한 50대 체포,남성,0,0,0,0,0
_,1200101.202,20201211,경기일보,[가]의왕경찰서 도시공사 직원 2명 상습폭행 등 혐의로 기소의견 검찰 송치,남성,0,0,0,0,0
_,2100701.202,20201210,헤럴드경제,이웃과 싸우는데 ‘내 편 안든다’ 아내 폭행 60대 남성 벌금형,남성,1,0,0,1,2
_,2100701.202,20201210,헤럴드경제,'강북구 아파트 경비원 폭행' 주민 1심서 징역 5년 선고,남성,0,0,0,0,0
_,8100101.202,20201210,KBS,故 최희석 경비원 폭행 입주민 징역 5년 “잘못 반성하고 있다 보기 어려워”,남성,-1,0,0,0,-1
_,2100101.202,20201210,매일경제,"法, 강북구 경비원 갑질 입주민에 징역 5년 대법원 기준보다 높은 형량 선고",남성,0,0,1,0,1
_,2100101.202,20201210,매일경제,"""죄질 나쁘다"" 경비원 죽음 부른 `갑질 주민` 이례적 중형",남성,0,-1,1,0,0
_,2100201.202,20201210,머니투데이,악마를 보았다...췌장절단 갈비뼈 부러지고 사망한 16개월 입양아,여성,-1,-1,0,0,-2
_,2100201.202,20201210,머니투데이,"[속보]법원, 경비원 갑질 입주민 심모씨에 징역 '5년' 선고",남성,0,0,0,0,0
_,1500701.202,20201210,부산일보,'강북구 경비원 갑질 폭행' 아파트 주민 1심서 징역 5년,남성,0,0,0,0,0
_,2100501.202,20201210,파이낸셜뉴스,'학대 사망' 16개월 입양아 장기손상에 온몸 골절 엄마 구속기소,여성,-1,0,0,-1,-2
_,1101001.202,20201210,한겨레,강북구 ‘경비원 폭행 갑질’ 아파트 주민 징역 5년 “죄질 매우 나빠”,남성,0,-1,0,0,-1
_,1200201.202,20201210,경인일보,인천구치소서 방 이전 거절한 교도관 폭행 20대 수용자 추가 징역,남성,1,0,0,0,1
_,1200201.202,20201210,경인일보,"警, 의왕도시공사 직원 2명 폭행 강요 혐의 기소의견 검찰 송치",남성,0,0,0,0,0
_,8200101.202,20201210,OBS,교도관 욕설 폭행한 20대 재소자 추가 징역,남성,0,0,0,0,0
_,2100311.202,20201210,서울경제,"경비원 극단적 선택 내몬 '갑질' 주민, 1심서 징역 5년",남성,0,0,1,0,1
_,8100401.202,20201210,YTN,"""수용실 옮겨줘""...교도관에 행패 부린 재소자 추가 징역 선고",남성,1,0,1,0,2
_,8100401.202,20201210,YTN,"갑질 입주민에 1심 징역 5년...""반성도 없어 엄벌 필요""",남성,0,-1,1,0,0
_,1400501.202,20201210,중부일보,"수감 중인 소년범, 교도관에 욕하고 빵 던져 징역형 추가",남성,0,0,0,0,0
_,1500301.202,20201210,경상일보,층간 소음 시비 벌이다 주민 폭행 60대에 벌금형 선고,남성,1,0,0,0,1
_,1200101.202,20201210,경기일보,"수원지역 병원서 체온측정 거부 40대 남성, 경찰까지 폭행",남성,0,-1,0,0,-1
_,1100101.202,20201209,경향신문,‘16개월 입양아 학대 사망’ 엄마 구속 기소,여성,0,0,0,-1,-1
_,1100201.202,20201209,국민일보,‘묻지마 폭행범’ 잡고보니 장애인센터 직원 50만원 벌금형,남성,0,0,1,0,1
_,1100501.202,20201209,문화일보,뺨 때려 신체 일부 마비되는 중상해 혐의로 기소된 50대 항소심도 ‘무죄’,남성,0,-1,0,0,-1
_,8100201.202,20201209,MBC,"""험담했다"" ""친구 14명이 뺨 때리며 끌고 다녀""",여성,-1,0,0,0,-1
_,8100401.202,20201209,YTN,고양 무전취식 후 경찰 깨물고 손가락 꺾은 30대 검거,남성,0,0,0,0,0
_,8100401.202,20201209,YTN,재개발조합장 배우자 직장 찾아간 사랑제일교회 신도 경찰 수사 착수,남성,0,0,0,0,0
_,1200101.202,20201209,경기일보,“중학생 10여 명이 동급생 집단폭행” 경찰 수사 착수,여성,0,0,0,0,0
_,2100701.202,20201208,헤럴드경제,"죽음으로 호소한 경비원, 가해자는 끝까지 “안 때렸다”",남성,0,-1,0,0,-1
_,2100201.202,20201208,머니투데이,세종서 중학생 집단 폭행 발생,여성,0,0,0,0,0
_,1600501.202,20201208,무등일보,택시기사 폭행혐의 60대 입건,남성,0,0,0,0,0
_,2100311.202,20201208,서울경제,“얼굴 정강이 등 때리고 넘어뜨린 중학생들” 국민청원...수사 나선 경찰,여성,0,0,0,0,0
_,1100701.202,20201208,세계일보,라이터 들이대고 '여중생 집단 폭행' 경찰 수사,여성,-1,0,0,0,-1
_,1100611.202,20201208,서울신문,'폭행 갑질'로 경비원 죽음으로 내몬 입주민 징역 9년 구형,남성,0,0,1,0,1
_,1100611.202,20201208,서울신문,"""침 뱉고 라이터 들이대고 "" 세종시 여중생 집단 폭행 사건 靑 청원",여성,-1,0,0,0,-1
_,1100611.202,20201208,서울신문,"""14명이 뺨 때리고 라이터 위협"" 중1들의 2시간 잔혹폭행",여성,-1,-1,0,0,-2
_,8100401.202,20201208,YTN,[자막뉴스] '쉴 새 없는 폭행'...택시에 타자 괴물이 된 남성,남성,1,0,1,0,2
_,8100401.202,20201208,YTN,운전중이던 택시기사 폭행 60대 현행범 체포 불구속,남성,0,0,0,0,0
_,8100401.202,20201208,YTN,같은 반 친구 상습 폭행 협박 10대 ‘집행유예’,여성,0,-1,0,0,-1
_,1100201.202,20201207,국민일보,"코로나 영업규제 어긴 술집 주인, 차에 경찰 매달고 도주하다 체포",남성,0,0,0,0,0
_,1100201.202,20201207,국민일보,"CCTV 없는 곳 끌고가 경비원 폭행, '갑질' 입주민 징역 9년 구형",남성,-1,-1,0,0,-2
_,1100201.202,20201207,국민일보,"'경비원 갑질 폭행' 입주민에 징역 9년 구형 ""반성 않고 궤변만""",남성,-1,0,0,0,-1
_,2100201.202,20201207,머니투데이,행인에게 비비탄 쏜 40대 항소심도 벌금형,남성,0,0,0,0,0
